S RANK,Rounded S RANK
S1,S1
S1S2,S1
S1?,S1
"S1B,S1M","S1B,S1M"
"S1B,S2M","S1B,S2M"
"S1B,S3M","S1B,S3M"
"S1B,S3N,S2M","S1B,S3N,S2M"
"S1B,S3N,S3M","S1B,S3N,S3M"
"S1B,S4M","S1B,S4M"
"S1B,S4N,S3M","S1B,S4N,S3M"
"S1B,S5N,S4M","S1B,S5N,S4M"
S2S3,S2
S2,S2
S1S3,S2
S2?,S2
S2B,S2B
"S2B,S2M","S2B,S2M"
"S2B,S3M","S2B,S3M"
"S2B,S3N","S2B,S3N"
"S2B,S3N,S2M","S2B,S3N,S2M"
"S2B,S4M","S2B,S4M"
"S2B,S4N,S3M","S2B,S4N,S3M"
"S2B,S4N,S4M","S2B,S4N,S4M"
S2M,S2M
S2S3N,S2N
S2N,S2N
"S2N,S4M","S2N,S4M"
S3,S3
S3S4,S3
S3?,S3
S2S4,S3
S3B,S3B
S2S4B,S3B
"S3B,S2M","S3B,S2M"
"S3B,S3M","S3B,S3M"
"S3?B,S3M","S3B,S3M"
"S3B,S3N,S4M","S3B,S3N,S4M"
"S3B,S4M","S3B,S4M"
"S3B,S4N,S3M","S3B,S4N,S3M"
"S3B,S4N,S5M","S3B,S4N,S5M"
"S3B,S5M","S3B,S5M"
"S3B,S5N,S4M","S3B,S5N,S4M"
S3M,S3M
S3N,S3N
"S3N,S3M","S3N,S3M"
"S3N,S4M","S3N,S4M"
"S3N,S5M","S3N,S5M"
S4,S4
S4S5,S4
S4?,S4
S3S5,S4
S4B,S4B
"S4B,S3M","S4B,S3M"
"S4B,S3N","S4B,S3N"
"S4B,S3N,S3M","S4B,S3N,S3M"
"S4B,S3N,S5M","S4B,S3N,S5M"
"S4B,S4M","S4B,S4M"
"S4B,S4N","S4B,S4N"
"S4B,S4N,S3M","S4B,S4N,S3M"
"S4B,S4N,S4M","S4B,S4N,S4M"
"S4B,S4N,S5M","S4B,S4N,S5M"
"S4B,S5M","S4B,S5M"
"S4B,S5N,S4M","S4B,S5N,S4M"
S4M,S4M
S4N,S4N
"S4N,S3M","S4N,S3M"
"S4N,S4M","S4N,S4M"
S5,S5
S5B,S5B
"S5B,S4M","S5B,S4M"
"S5B,S4N,S4M","S5B,S4N,S4M"
"S5B,S5M","S5B,S5M"
"S5B,S5N","S5B,S5N"
"S5B,S5N,S5M","S5B,S5N,S5M"
S5N,S5N
"S5N,S3M","S5N,S3M"
"S5N,S4M","S5N,S4M"
SH,SH
SHB,SHB
SNA,SNA
SNR,SNR
SU,SU
SX,SX
"SXB,S3M","SXB,S3M"
S1.1,S1
S1B,S1
"S1B,S1N",S1
"S1B,S2N",S1
S1M,S1
S1N,S1
SXN,SX
"SXB,SNRM",SX
"SXB,SHN",SX
SXB,SX
SX.1,SX
"SX,S1",SX
"SUB,S4N",SU
"SUB,S3N",SU
SUB,SU
SNRN,SNR
"SNRB,SNRN",SNR
"SNAB,S1S3N",SNA
"SNAB,S1N",SNA
SHN,SH
"SHB,SHN",SH
"SHB,S1N",SH
S5?,S5
S4S5M,S4
S3S4M,S3
S3S4B,S3
"S3B,S3S4N",S3
"S2B,S2N",S2
"S1B,SUN",S1
"S3B,S2N",S3
"S1N,SUB",S1
"S3?B,S3?N",S3
"S2B,S2N",S2
"S2N,S1B",S2
"S3?B",S3
"S2S3B",S2
"S2B,S2N",S2
"S2B,S3B",S2
"S2B,S4N",S2
"S2B,S1N",S2
"S1B,SNRM",S1



